metric,dry,moderate,wet
DS_Dur_WS,183,207,188
DS_Tim,293,299,331
DS_Mag_50,133,149,282
DS_Mag_90,524,686,895
FA_Dur,3,3,3
FA_Mag,891,1326,1754
FA_Tim,10,17,13
SP_ROC,0.073,0.083,0.077
SP_Dur,52,55,55
SP_Mag,5679,12674,22722
SP_Tim,241,246,266
Wet_BFL_Dur,93,97,156
Wet_BFL_Mag_10,539,1476,2829
Wet_BFL_Mag_50,1624,3161,5417
Wet_Tim,147,140,107
Peak_Tim_10,-1,122,88
Peak_Tim_2,-1,229,223
Peak_Tim_5,-1,122,98
Peak_Dur_10,-1,1,1
Peak_Dur_2,-1,3,18
Peak_Dur_5,-1,1,2
Peak_10,56043,56043,56043
Peak_2,17079,17079,17079
Peak_5,38491,38491,38491
Peak_Fre_10,-1,1,1
Peak_Fre_2,-1,1,4
Peak_Fre_5,-1,1,1
