WY,flow
1950,914.0327919890932
1951,2008.8735756335286
1952,2168.284277088643
1953,705.945571656798
1954,1103.141330855579
1955,743.9722797023269
1956,2516.7123136133314
1957,725.9507920289586
1958,2006.4792068075103
1959,588.3097897139327
1960,671.1087296238222
1961,345.8306991225922
1962,1302.0403250979855
1963,1481.0695058895562
1964,498.1341983866958
1965,1900.1402736682205
1966,855.7422889360372
1967,2099.5797032330147
1968,443.45356877007686
1969,2959.2313930336795
1970,1322.168170726127
1971,760.7254823956439
1972,619.8555696102558
1973,1261.0823001733938
1974,1376.4734149872104
1975,1280.1628413619276
1976,179.8217871107522
1977,86.55201230818066
1978,2309.829486731987
1979,1395.7287406077014
1980,2094.925067460696
1981,640.21548867188
1982,2415.1264380938824
1983,2871.519974614981
1984,1336.7403150503435
1985,496.1340935787305
1986,2068.639841699553
1987,283.2047497267983
1988,408.7283362174926
1989,663.2617047101721
1990,530.6867117612936
1991,754.7899478618862
1992,576.2118015232318
1993,2002.019902200326
1994,344.229421014275
1995,2620.655451244208
1996,1718.9288803962504
1997,2119.530852282744
1998,1949.0701724869173
1999,1058.6403985835389
2000,1237.3831896276333
2001,731.262069557666
2002,818.7483675898702
2003,1153.943454181819
2004,742.5290749126781
2005,1986.2949134943867
2006,2093.2008071650907
2007,197.53278247398575
2008,522.7342892370434
2009,958.7134532102427
2010,939.559215378672
2011,1971.7584436424993
2012,462.38790233037423
2013,566.138145064894
2014,16.18080413111803
