"Date","USGS 11292000 MF STANISLAUS R AT KENNEDY MDWS NR DARDANELLE CA","USGS 11292500 CLARK FORK STANISLAUS R NR DARDANELLE CA","USGS 11292610 DONNELL PH NR STRAWBERRY CA","USGS 11292700 MF STANISLAUS R A HELLS HALF ACRE BRIDGE CA","USGS 11292820 BEARDSLEY PH NR STRAWBERRY CA","USGS 11292860 JW SOUTHERN PP A SND BAR DIV DAM NR LNG BRN CA","USGS 11292900 MF STANISLAUS R BL BEARDSLEY DAM CA","USGS 11293200 MF STANISLAUS R BL SND BAR DIV DAM NR AVERY CA","USGS 11293372 NF STANISLAUS R BL UTICA RES NR BEAR VALLEY CA","USGS 11293500 NF STANISLAUS R BL SILVER C CA","USGS 11293580 NF STANISLAUS R DIV TUNNEL NR BIG MDW CA","USGS 11293600 NF STANISLAUS R BL DIV D","USGS 11293700 HOBART C AT NF DIV TUNNL OUTLT NR SPICER MDWS CA","USGS 11293710 NF STANISLAUS DIV TU OL BL HOBART C NR NSMD CA","USGS 11293760 NEW SPICER MDW DAM PP A NSMD NR B MDW CA","USGS 11294000 HIGHLAND C BL SPICER MEADOWS RES CA","USGS 11294500 NF STANISLAUS R NR AVERY CA","USGS 11295210 BEAVER C DIV TO MCKAYS POINT RES NR ARNOLD CA","USGS 11295230 BEAVER CR BL DIV DAM NR ARNOLD CA","USGS 11295250 COLLIERVILLE PP NR MURPHYS CA","USGS 11295270 NF STANISLAUS R BL MCKAYS POINT DAM NR AVERY CA","USGS 11295300 NF STANISLAUS R BL BEAVER C NR HATHAWAY PINES CA","USGS 11295340 MILL C BL HUNTER RES A HATHAWAY PINES CA","USGS 11295505 STANISLAUS PP NR HATHAWAY PINES CA","USGS 11296500 SF STANISLAUS R A STRAWBERRY CA","USGS 11297000 PHILADELPHIA CN NR STRAWBERRY CA","USGS 11297200 SF STANISLAUS R NR STRAWBERRY CA","USGS 11297500 TUOLUMNE CN NR LONG BARN CA","USGS 11298000 SF STANISLAUS R NR LONG BARN CA","USGS 11298650 ANGELS C BL MURPHYS AFTERBAY NR MURPHYS CA","USGS 11298700 ANGELS C BL UTICA D DIV DAM NR MURPHYS CA","USGS 11300500 S SAN JOAQUIN CN NR KNIGHTS FERRY CA","USGS 11301000 OAKDALE CN NR KNIGHTS FERRY CA","USGS 11302000 STANISLAUS R BL GOODWIN DAM NR KNIGHTS FERRY CA","USGS 11292615 MF STANISLAUS R LOW FLOW REL BL DONNELL LAKE","USGS 11299200 NEW MELONES PP BL NEW MELONES DAM NR SONORA CA","USGS 11299996 TULLOCH PH NR KNIGHTS FERRY CA"
1975-10-01,55,32,NA,48,439,NA,460,29,NA,51,NA,NA,NA,NA,NA,5.8,67,NA,NA,NA,NA,NA,NA,NA,99,61,36,45,2.1,NA,NA,655,410,2.8,NA,354,991
1975-10-02,55,32,NA,47,484,NA,463,23,NA,51,NA,NA,NA,NA,NA,6,66,NA,NA,NA,NA,NA,NA,NA,112,45,59,46,2.1,NA,NA,657,410,2.8,NA,374,973
1975-10-03,55,32,NA,47,461,NA,459,24,NA,51,NA,NA,NA,NA,NA,6.1,66,NA,NA,NA,NA,NA,NA,NA,112,59,50,46,2.2,NA,NA,657,411,2.6,NA,354,970
1975-10-04,54,32,NA,47,450,NA,458,28,NA,51,NA,NA,NA,NA,NA,6.1,66,NA,NA,NA,NA,NA,NA,NA,111,61,48,46,2.2,NA,NA,657,410,2.6,NA,394,968
1975-10-05,54,32,NA,47,449,NA,459,28,NA,51,NA,NA,NA,NA,NA,6,66,NA,NA,NA,NA,NA,NA,NA,110,60,48,46,2.2,NA,NA,657,411,2.6,NA,374,979
1975-10-06,88,36,NA,49,453,NA,457,30,NA,50,NA,NA,NA,NA,NA,6,70,NA,NA,NA,NA,NA,NA,NA,111,60,49,46,2.2,NA,NA,645,405,2.6,NA,394,969
1975-10-07,120,54,NA,51,458,NA,460,29,NA,47,NA,NA,NA,NA,NA,6.1,90,NA,NA,NA,NA,NA,NA,NA,112,61,49,46,2.2,NA,NA,638,401,2.4,NA,374,965
1975-10-08,111,38,NA,49,462,NA,458,29,NA,46,NA,NA,NA,NA,NA,6.2,70,NA,NA,NA,NA,NA,NA,NA,111,61,49,45,2.3,NA,NA,640,401,2.4,NA,374,956
1975-10-09,98,37,NA,49,451,NA,457,28,NA,46,NA,NA,NA,NA,NA,6.2,69,NA,NA,NA,NA,NA,NA,NA,110,61,48,44,2.4,NA,NA,641,385,2.3,NA,394,953
1975-10-10,111,60,NA,68,411,NA,466,33,NA,72,NA,NA,NA,NA,NA,6.8,127,NA,NA,NA,NA,NA,NA,NA,116,61,NA,42,2.4,NA,NA,489,236,20,NA,374,1200
1975-10-11,111,67,NA,96,486,NA,469,36,NA,54,NA,NA,NA,NA,NA,30,285,NA,NA,NA,NA,NA,NA,NA,127,62,NA,42,2.3,NA,NA,38,0.1,51,NA,394,1140
1975-10-12,92,51,NA,67,398,NA,461,29,NA,24,NA,NA,NA,NA,NA,47,164,NA,NA,NA,NA,NA,NA,NA,117,61,55,42,2.2,NA,NA,20,0.03,48,NA,394,1090
1975-10-13,76,47,NA,65,444,NA,465,31,NA,22,NA,NA,NA,NA,NA,46,131,NA,NA,NA,NA,NA,NA,NA,114,61,52,41,2.2,NA,NA,8.8,0,323,NA,415,726
1975-10-14,76,50,NA,61,463,NA,464,31,NA,21,NA,NA,NA,NA,NA,45,114,NA,NA,NA,NA,NA,NA,NA,114,61,51,40,2.1,NA,NA,6.5,0,1000,NA,498,608
1975-10-15,77,53,NA,56,453,NA,462,30,NA,20,NA,NA,NA,NA,NA,45,105,NA,NA,NA,NA,NA,NA,NA,115,61,52,37,2,NA,NA,5,4.7,996,NA,456,589
1975-10-16,77,53,NA,54,429,NA,463,30,NA,19,NA,NA,NA,NA,NA,45,100,NA,NA,NA,NA,NA,NA,NA,115,61,52,12,2.4,NA,NA,4.6,10,1000,NA,498,451
1975-10-17,77,54,NA,53,411,NA,412,19,NA,19,NA,NA,NA,NA,NA,44,96,NA,NA,NA,NA,NA,NA,NA,115,61,52,0,2.6,NA,NA,4.4,5.5,1000,NA,498,337
