Day,Annual fraction
001,0.0
002,0.0
003,0.0
004,0.0
005,0.0
006,0.0
007,0.0
008,0.0
009,0.0
010,0.0
011,0.0
012,0.0
013,0.0
014,0.0
015,0.0
016,0.0
017,0.0
018,0.0
019,0.0
020,0.0
021,0.0
022,0.0
023,0.0
024,0.0
025,0.0
026,0.0
027,0.0
028,0.0
029,0.0
030,0.0
031,0.0
032,0.0
033,0.0
034,0.0
035,0.0
036,0.0
037,0.0
038,0.0
039,0.0
040,0.0
041,0.0
042,0.0
043,0.0
044,0.0
045,0.0
046,0.0
047,0.0
048,0.0
049,0.0
050,0.0
051,0.0
052,0.0
053,0.0
054,0.0
055,0.0
056,0.0
057,0.0
058,0.0
059,0.0
060,0.0
061,0.0
062,0.0
063,0.0
064,0.0
065,0.0
066,0.0
067,0.0
068,0.0
069,0.0
070,0.0
071,0.0
072,0.0
073,0.0
074,0.0
075,0.0
076,0.0
077,0.0
078,0.0
079,0.0
080,0.0
081,0.0
082,0.0
083,0.0
084,0.0
085,0.0
086,0.0
087,0.0
088,0.0010004001600640256
089,0.0012004801920768306
090,0.0013005202080832333
091,0.0011004401760704283
092,0.0011004401760704283
093,0.0015006002400960383
094,0.0012004801920768306
095,0.0014005602240896356
096,0.0017006802721088433
097,0.0018007202881152459
098,0.0019007603041216485
099,0.002300920368147259
100,0.0024009603841536613
101,0.002701080432172869
102,0.003101240496198479
103,0.003101240496198479
104,0.003101240496198479
105,0.0034013605442176865
106,0.0037014805922368946
107,0.0037014805922368946
108,0.003301320528211284
109,0.0036014405762304917
110,0.0036014405762304917
111,0.0035014005602240893
112,0.003801520608243297
113,0.004001600640256103
114,0.004401760704281713
115,0.004401760704281713
116,0.00430172068827531
117,0.004401760704281713
118,0.004401760704281713
119,0.004201680672268907
120,0.004201680672268907
121,0.004101640656262505
122,0.004101640656262505
123,0.004201680672268907
124,0.00430172068827531
125,0.004501800720288115
126,0.004701880752300921
127,0.004801920768307323
128,0.004901960784313725
129,0.004901960784313725
130,0.005102040816326531
131,0.005102040816326531
132,0.005002000800320128
133,0.005102040816326531
134,0.005102040816326531
135,0.005002000800320128
136,0.005102040816326531
137,0.005202080832332933
138,0.005102040816326531
139,0.005302120848339335
140,0.005102040816326531
141,0.005102040816326531
142,0.005302120848339335
143,0.005302120848339335
144,0.005302120848339335
145,0.00550220088035214
146,0.00550220088035214
147,0.005402160864345738
148,0.005402160864345738
149,0.00550220088035214
150,0.005402160864345738
151,0.00550220088035214
152,0.005402160864345738
153,0.005402160864345738
154,0.005402160864345738
155,0.005202080832332933
156,0.005102040816326531
157,0.005302120848339335
158,0.005402160864345738
159,0.005402160864345738
160,0.005302120848339335
161,0.005402160864345738
162,0.005202080832332933
163,0.005202080832332933
164,0.005402160864345738
165,0.00550220088035214
166,0.005402160864345738
167,0.00550220088035214
168,0.00550220088035214
169,0.00550220088035214
170,0.00550220088035214
171,0.00550220088035214
172,0.00550220088035214
173,0.005602240896358543
174,0.005602240896358543
175,0.00550220088035214
176,0.005602240896358543
177,0.005702280912364945
178,0.005702280912364945
179,0.005802320928371347
180,0.005802320928371347
181,0.005802320928371347
182,0.006002400960384153
183,0.006002400960384153
184,0.006102440976390556
185,0.006202480992396958
186,0.006202480992396958
187,0.006102440976390556
188,0.006202480992396958
189,0.006302521008403361
190,0.006302521008403361
191,0.0064025610244097635
192,0.0064025610244097635
193,0.006502601040416165
194,0.006502601040416165
195,0.006502601040416165
196,0.006502601040416165
197,0.006502601040416165
198,0.006502601040416165
199,0.006502601040416165
200,0.006702681072428971
201,0.006702681072428971
202,0.006602641056422568
203,0.006602641056422568
204,0.006702681072428971
205,0.006602641056422568
206,0.006602641056422568
207,0.006602641056422568
208,0.006502601040416165
209,0.006602641056422568
210,0.006602641056422568
211,0.006602641056422568
212,0.006602641056422568
213,0.006602641056422568
214,0.006502601040416165
215,0.0064025610244097635
216,0.0064025610244097635
217,0.0064025610244097635
218,0.0064025610244097635
219,0.0064025610244097635
220,0.006502601040416165
