Day,P25
10/1,165.5
10/2,165
10/3,164.5
10/4,162
10/5,161
10/6,165
10/7,165
10/8,165
10/9,169.5
10/10,164
10/11,168
10/12,167
10/13,163
10/14,164.5
10/15,165
10/16,165
10/17,167
10/18,165
10/19,158.5
10/20,156
10/21,154.5
10/22,159
10/23,163
10/24,163
10/25,157
10/26,152.5
10/27,153.5
10/28,154.5
10/29,157
10/30,156.5
10/31,144.5
11/1,107
11/2,105
11/3,103.5
11/4,109
11/5,114
11/6,115.5
11/7,114
11/8,105
11/9,113.5
11/10,113.5
11/11,113
11/12,108
11/13,115
11/14,116
11/15,116
11/16,116
11/17,127.5
11/18,112.5
11/19,113.5
11/20,115
11/21,112
11/22,111.5
11/23,112
11/24,106.5
11/25,102
11/26,102
11/27,102
11/28,102
11/29,116
11/30,123
12/1,100.5
12/2,92
12/3,99
12/4,106
12/5,120.5
12/6,125.5
12/7,87.5
12/8,79
12/9,67.5
12/10,72.5
12/11,89.5
12/12,87.5
12/13,80
12/14,77
12/15,76
12/16,75.5
12/17,72
12/18,74
12/19,61
12/20,65.5
12/21,68
12/22,74.5
12/23,75
12/24,71.5
12/25,58.5
12/26,70
12/27,66
12/28,57
12/29,65.5
12/30,73.5
12/31,76.5
1/1,76
1/2,76
1/3,76.5
1/4,102.5
1/5,99
1/6,102
1/7,103.5
1/8,98
1/9,87
1/10,94.5
1/11,80.5
1/12,89.5
1/13,92.5
1/14,88
1/15,58.5
1/16,60
1/17,59
1/18,60.5
1/19,61.5
1/20,61
1/21,61
1/22,43
1/23,36
1/24,32
1/25,35
1/26,31.5
1/27,23
1/28,23
1/29,25.5
1/30,31.5
1/31,26.5
2/1,26.5
2/2,32.5
2/3,27.5
2/4,26
2/5,23.5
2/6,23.5
2/7,24
2/8,27.5
2/9,28
2/10,26
2/11,24.5
2/12,27
2/13,28
2/14,27.5
2/15,21.5
2/16,21.5
2/17,21.5
2/18,21.5
2/19,22.5
2/20,22
2/21,22
2/22,22
2/23,21
2/24,22.5
2/25,23
2/26,22
2/27,22
2/28,22.5
2/29,22
3/1,22
3/2,22
3/3,23
3/4,23
3/5,22.5
3/6,21.5
3/7,21
3/8,21.5
3/9,22
3/10,22
3/11,21
3/12,22
3/13,21
3/14,21
3/15,21
3/16,20.5
3/17,20.5
3/18,20
3/19,20.5
3/20,20.5
3/21,21
3/22,21
3/23,21
3/24,21
3/25,21
3/26,21
3/27,21
3/28,21
3/29,21
3/30,21
3/31,21
4/1,21
4/2,21
4/3,21
4/4,21
4/5,21.5
4/6,22
4/7,22
4/8,21.5
4/9,22
4/10,22
4/11,22
4/12,22
4/13,22
4/14,22
4/15,22
4/16,22
4/17,22
4/18,22
4/19,22
4/20,22
4/21,22
4/22,22
4/23,22
4/24,22
4/25,22
4/26,22
4/27,21.5
4/28,21.5
4/29,21.5
4/30,22
5/1,22
5/2,21.5
5/3,21.5
5/4,21
5/5,22
5/6,22
5/7,22
5/8,22.5
5/9,22
5/10,22
5/11,22
5/12,22
5/13,22
5/14,22
5/15,22
5/16,22
5/17,22
5/18,22
5/19,22
5/20,22
5/21,22
5/22,22
5/23,22
5/24,22
5/25,22
5/26,23
5/27,22.5
5/28,23
5/29,30
5/30,23
5/31,27
6/1,22.5
6/2,22.5
6/3,33
6/4,51
6/5,46.5
6/6,52
6/7,53.5
6/8,72.5
6/9,77
6/10,82
6/11,93
6/12,98.5
6/13,117.5
6/14,134.5
6/15,137
6/16,140
6/17,132
6/18,124
6/19,123.5
6/20,127.5
6/21,141
6/22,137.5
6/23,146
6/24,145
6/25,145
6/26,151
6/27,154
6/28,161
6/29,163.5
6/30,155.5
7/1,151.5
7/2,156
7/3,156.5
7/4,156
7/5,155.5
7/6,156
7/7,158
7/8,157.5
7/9,159.5
7/10,162.5
7/11,160
7/12,162
7/13,163
7/14,164.5
7/15,166
7/16,166
7/17,163.5
7/18,165
7/19,168
7/20,171
7/21,174.5
7/22,167.5
7/23,166
7/24,178.5
7/25,170
7/26,167.5
7/27,166
7/28,166
7/29,164
7/30,171.5
7/31,170.5
8/1,166.5
8/2,167.5
8/3,178
8/4,175.5
8/5,175
8/6,167.5
8/7,171
8/8,172
8/9,168.5
8/10,179.5
8/11,174
8/12,183
8/13,198.5
8/14,203.5
8/15,184.5
8/16,175.5
8/17,175.5
8/18,172
8/19,178.5
8/20,169.5
8/21,169.5
8/22,169
8/23,166
8/24,166
8/25,162.5
8/26,163
8/27,169
8/28,176.5
8/29,177
8/30,177.5
8/31,177
9/1,184.5
9/2,180.5
9/3,175
9/4,168.5
9/5,163.5
9/6,167
9/7,169.5
9/8,169.5
9/9,167
9/10,177
9/11,175.5
9/12,168.5
9/13,169
9/14,168.5
9/15,173.5
9/16,161
9/17,160.5
9/18,160.5
9/19,161
9/20,161
9/21,161
9/22,160.5
9/23,159.5
9/24,162
9/25,162.5
9/26,163
9/27,167
9/28,164.5
9/29,164.5
9/30,164.5
