Date,Rainflood space,Conditional space
1-1,2429.96,2429.96
1-2,2429.96,2429.96
1-3,2429.96,2429.96
1-4,2429.96,2429.96
1-5,2429.96,2429.96
1-6,2429.96,2429.96
1-7,2429.96,2429.96
1-8,2429.96,2429.96
1-9,2429.96,2429.96
1-10,2429.96,2429.96
1-11,2429.96,2429.96
1-12,2429.96,2429.96
1-13,2429.96,2429.96
1-14,2429.96,2429.96
1-15,2429.96,2429.96
1-16,2429.96,2429.96
1-17,2429.96,2429.96
1-18,2429.96,2429.96
1-19,2429.96,2429.96
1-20,2429.96,2429.96
1-21,2429.96,2429.96
1-22,2429.96,2429.96
1-23,2429.96,2429.96
1-24,2429.96,2429.96
1-25,2429.96,2429.96
1-26,2429.96,2429.96
1-27,2429.96,2429.96
1-28,2429.96,2429.96
1-29,2429.96,2429.96
1-30,2429.96,2429.96
1-31,2429.96,2429.96
2-1,2429.96,2429.96
2-2,2429.96,2429.96
2-3,2429.96,2429.96
2-4,2429.96,2429.96
2-5,2429.96,2429.96
2-6,2429.96,2429.96
2-7,2429.96,2429.96
2-8,2429.96,2429.96
2-9,2429.96,2429.96
2-10,2429.96,2429.96
2-11,2429.96,2429.96
2-12,2429.96,2429.96
2-13,2429.96,2429.96
2-14,2429.96,2429.96
2-15,2429.96,2429.96
2-16,2429.96,2429.96
2-17,2429.96,2429.96
2-18,2429.96,2429.96
2-19,2429.96,2429.96
2-20,2429.96,2429.96
2-21,2429.96,2429.96
2-22,2429.96,2429.96
2-23,2429.96,2429.96
2-24,2429.96,2429.96
2-25,2429.96,2429.96
2-26,2429.96,2429.96
2-27,2429.96,2429.96
2-28,2429.96,2429.96
2-29,2429.96,2429.96
3-1,2429.96,2429.96
3-2,2429.96,2429.96
3-3,2429.96,2429.96
3-4,2429.96,2429.96
3-5,2429.96,2429.96
3-6,2429.96,2429.96
3-7,2429.96,2429.96
3-8,2429.96,2429.96
3-9,2429.96,2429.96
3-10,2429.96,2429.96
3-11,2429.96,2429.96
3-12,2429.96,2429.96
3-13,2429.96,2429.96
3-14,2429.96,2429.96
3-15,2429.96,2429.96
3-16,2429.96,2429.96
3-17,2429.96,2429.96
3-18,2429.96,2429.96
3-19,2429.96,2429.96
3-20,2429.96,2429.96
3-21,2437.67,2429.96
3-22,2445.38,2429.96
3-23,2453.09,2429.96
3-24,2460.8,2429.96
3-25,2468.51,2429.96
3-26,2476.21,2429.96
3-27,2483.92,2429.96
3-28,2491.63,2429.96
3-29,2499.34,2429.96
3-30,2507.05,2429.96
3-31,2514.76,2429.96
4-1,2522.47,2429.96
4-2,2530.18,2429.96
4-3,2537.89,2429.96
4-4,2545.6,2429.96
4-5,2553.31,2429.96
4-6,2561.02,2429.96
4-7,2568.73,2429.96
4-8,2576.44,2429.96
4-9,2584.14,2429.96
4-10,2591.85,2429.96
4-11,2599.56,2429.96
4-12,2607.27,2429.96
4-13,2614.98,2429.96
4-14,2622.69,2429.96
4-15,2630.4,2429.96
4-16,2638.11,2429.96
4-17,2645.82,2429.96
4-18,2653.53,2429.96
4-19,2661.24,2429.96
4-20,2668.95,2429.96
4-21,2676.66,2429.96
4-22,2684.36,2429.96
4-23,2692.07,2429.96
4-24,2699.78,2429.96
4-25,2707.49,2429.96
4-26,2715.2,2429.96
4-27,2722.91,2429.96
4-28,2730.62,2429.96
4-29,2738.33,2429.96
4-30,2746.04,2429.96
5-1,2753.75,2429.96
5-2,2761.46,2429.96
5-3,2769.17,2429.96
5-4,2776.88,2429.96
5-5,2784.59,2429.96
5-6,2792.29,2429.96
5-7,2800,2429.96
5-8,2807.71,2429.96
5-9,2815.42,2429.96
5-10,2823.13,2429.96
5-11,2830.84,2429.96
5-12,2838.55,2429.96
5-13,2846.26,2429.96
5-14,2853.97,2429.96
5-15,2861.68,2429.96
5-16,2869.39,2429.96
5-17,2877.1,2429.96
5-18,2884.81,2429.96
5-19,2892.51,2429.96
5-20,2900.22,2429.96
5-21,2907.93,2429.96
5-22,2915.64,2429.96
5-23,2923.35,2429.96
5-24,2931.06,2429.96
5-25,2938.77,2429.96
5-26,2946.48,2429.96
5-27,2954.19,2429.96
5-28,2961.9,2429.96
5-29,2969.61,2429.96
5-30,2977.32,2429.96
5-31,2985.03,2429.96
6-1,2985.03,2438.91
6-2,2985.03,2447.87
6-3,2985.03,2456.82
6-4,2985.03,2465.77
6-5,2985.03,2474.73
6-6,2985.03,2483.68
6-7,2985.03,2492.63
6-8,2985.03,2501.58
6-9,2985.03,2510.54
6-10,2985.03,2519.49
6-11,2985.03,2528.44
6-12,2985.03,2537.40
6-13,2985.03,2546.35
6-14,2985.03,2555.30
6-15,2985.03,2564.26
6-16,2985.03,2573.21
6-17,2985.03,2582.16
6-18,2985.03,2591.11
6-19,2985.03,2600.07
6-20,2985.03,2609.02
6-21,2985.03,2617.97
6-22,2985.03,2626.93
6-23,2985.03,2635.88
6-24,2985.03,2644.83
6-25,2985.03,2653.79
6-26,2985.03,2662.74
6-27,2985.03,2671.69
6-28,2985.03,2680.64
6-29,2985.03,2689.60
6-30,2985.03,2698.55
7-1,2985.03,2707.50
7-2,2985.03,2716.46
7-3,2985.03,2725.41
7-4,2985.03,2734.36
7-5,2985.03,2743.32
7-6,2985.03,2752.27
7-7,2985.03,2761.22
7-8,2985.03,2770.17
7-9,2985.03,2779.13
7-10,2985.03,2788.08
7-11,2985.03,2797.03
7-12,2985.03,2805.99
7-13,2985.03,2814.94
7-14,2985.03,2823.89
7-15,2985.03,2832.85
7-16,2985.03,2841.80
7-17,2985.03,2850.75
7-18,2985.03,2859.70
7-19,2985.03,2868.66
7-20,2985.03,2877.61
7-21,2985.03,2886.56
7-22,2985.03,2895.52
7-23,2985.03,2904.47
7-24,2985.03,2913.42
7-25,2985.03,2922.38
7-26,2985.03,2931.33
7-27,2985.03,2940.28
7-28,2985.03,2949.23
7-29,2985.03,2958.19
7-30,2985.03,2967.14
7-31,2985.03,2976.09
