Start Date,End Date,Critically Dry,Dry,Normal-Dry,Normal-Wet,Wet
01/01/00,01/31/00,20,20,60,60,125
02/01/00,02/29/00,20,20,60,60,125
03/01/00,03/31/00,25,25,60,60,125
04/01/00,04/30/00,39,39,math.inf,math.inf,math.inf
05/01/00,05/31/00,69.83870968,69.83870968,math.inf,math.inf,math.inf
06/01/00,06/30/00,100,100,math.inf,math.inf,math.inf
07/01/00,07/31/00,40,40,math.inf,math.inf,math.inf
08/01/00,08/31/00,20,20,200,200,300
09/01/00,09/30/00,20,20,120,120,200
10/01/00,10/31/00,20,20,50,50,125
11/01/00,11/30/00,20,20,60,60,125
12/01/00,12/31/00,20,20,60,60,125
