Month,Day,Critical,Dry,Below Normal,Above Normal,Wet
1,1,0,0,0,3.444444444,27.27272727
1,2,0,0,0,3.444444444,27.27272727
1,3,0,0,0,3.444444444,27.09090909
1,4,0,0,0,3.444444444,27.18181818
1,5,0,0,0,3.444444444,41.81818182
1,6,0,0,0,3.444444444,57.5
1,7,0,0,0.727272727,3.444444444,68.5
1,8,0,0,1.090909091,7.666666667,74.54545455
1,9,0,0,0,10.11111111,76.95454545
1,10,0,0,0,10.22222222,81.27272727
1,11,0,0,0,15.33333333,88.90909091
1,12,0,0,3,30.66666667,91.90909091
1,13,1.0625,0,0,30.66666667,90.86363636
1,14,0,0,0,30.77777778,90.81818182
1,15,0,0,0,29.66666667,94.22727273
1,16,0,0,0,24.66666667,119.0909091
1,17,0,0,0,23.55555556,138.3636364
1,18,0,0,0,23.77777778,145.2727273
1,19,0,0,0,12.88888889,147.6818182
1,20,0,0,0,5.666666667,158.5909091
1,21,0,0,1.090909091,8.888888889,164.8636364
1,22,0,0,0,10.66666667,173.4545455
1,23,0,0,0,10.66666667,155.3181818
1,24,0,0,0,10.77777778,133.6363636
1,25,0,0,0,35.22222222,133.9090909
1,26,0,0,0,49.88888889,136.5909091
1,27,0,0,1.181818182,32,143.1818182
1,28,0,0,0,22.22222222,146.9545455
1,29,0,0,0,29.33333333,147.2727273
1,30,0,9.166666667,0,33.22222222,121.0909091
1,31,0,9.166666667,0,44.88888889,90.59090909
2,1,0,0,9.272727273,57.66666667,78.45454545
2,2,0,4.083333333,13.81818182,60.33333333,76.31818182
2,3,0,6.333333333,13.90909091,59.44444444,79.40909091
2,4,0,6.333333333,13.90909091,59.33333333,84.59090909
2,5,0,6.333333333,13.90909091,73.88888889,122.5454545
2,6,0,6.333333333,13.90909091,83.88888889,127.5
2,7,0,6.333333333,14,99.55555556,134.8636364
2,8,0,8.833333333,11.45454545,104.5555556,126.0909091
2,9,0,13.16666667,10,88.44444444,114.9090909
2,10,0,12.75,8.818181818,77,142.5454545
2,11,0,24.33333333,8.181818182,75,148.5454545
2,12,0,32.08333333,20,74.88888889,144.6818182
2,13,0,27.5,26.45454545,74.88888889,152.1363636
2,14,0,39.91666667,26.45454545,82,164.2272727
2,15,1.9375,68.91666667,26.45454545,89.66666667,164.6363636
2,16,0,70.5,28.18181818,93.88888889,165.0454545
2,17,12.5625,56.91666667,30.45454545,96.77777778,193.8181818
2,18,27,59.58333333,39.36363636,89.22222222,229.9090909
2,19,31.375,86.58333333,36.09090909,102.8888889,260.9090909
2,20,23.125,94.91666667,33.90909091,104.2222222,300.8181818
2,21,6.5,97.91666667,50.90909091,157.1111111,319.6818182
2,22,0,107.8333333,45.36363636,163.3333333,351.3181818
2,23,0,103.8333333,51.36363636,142.6666667,362.1818182
2,24,0,96.33333333,55.36363636,144,344.3181818
2,25,0,98.41666667,60.90909091,164.4444444,341.6363636
2,26,0,106.5,62.63636364,194.4444444,368.4545455
2,27,0,145,70,211,358.0909091
2,28,0,228.3333333,75.27272727,162.3333333,354.7727273
2,29,0,322.6666667,75.18181818,311.5,302.5
3,1,0,198.3333333,80.90909091,125,360.5909091
3,2,0,181.75,84,111.8888889,353.7727273
3,3,0,191.6666667,79.63636364,105.7777778,374.1363636
3,4,8.125,213.25,78.09090909,111,421.7727273
