Date,1,2,3,4,5
2009-01-01,79.391,72.613,64.881,58.802,52.712
2009-02-01,76.568,70.824,62.491,56.206,51.267
2009-03-01,76.048,71.429,66.1,58.979,51.141
2009-04-01,74.563,69.789,63.119,56.847,51.591
2009-05-01,86.111,76.803,70.371,61.232,53.447
2009-06-01,90.192,80.583,72.909,65.274,57.153
2009-07-01,108.266,96.585,84.294,72.495,62.228
2009-08-01,104.866,93.759,82.535,71.087,61.531
2009-09-01,92.807,81.578,71.889,63.492,55.69
2009-10-01,83.948,76.42,69.491,62.406,53.793
2009-11-01,79.103,73.392,65.02,58.354,52.327
2009-12-01,81.096,73.024,64.957,57.473,51.274
2030-01-01,55.507,49.022,40.749,35.361,25.111
2030-02-01,50.913,44.886,37.673,30.855,17.885
2030-03-01,46.945,40.9,31.58,22.574,7.801
2030-04-01,44.321,36.054,27.829,16.582,4.732
2030-05-01,44.07,35.635,27.692,15.264,4.295
2030-06-01,50.462,37.589,27.32,14.346,4.783
2030-07-01,66.212,54.531,43.761,33.064,11.999
2030-08-01,65.485,54.83,46.852,36.257,26.656
2030-09-01,65.646,55.646,46.988,34.45,19.855
2030-10-01,55.804,49.125,41.933,33.792,21.016
2030-11-01,52.986,47.91,41.921,34.524,22.282
2030-12-01,57.071,47.79,40.85,33.62,22.676
2045-01-01,38.86,26.096,16.367,0.633,-19.193
2045-02-01,28.23,9.591,-8.097,-28.707,-50.674
2045-03-01,24.953,9.419,-8.112,-28.549,-45.486
2045-04-01,16.111,-5.704,-31.575,-43.829,-65.936
2045-05-01,9.131,-14.948,-30.728,-41.904,-50.772
2045-06-01,18.832,-8.016,-26.029,-37.325,-50.405
2045-07-01,31.276,6.898,-6.977,-26.828,-41.859
2045-08-01,33.236,20.135,5.871,-4.246,-22.653
2045-09-01,38.205,21.007,4.031,-8.446,-22.952
2045-10-01,35.405,24.972,6.422,-4.103,-20.765
2045-11-01,31.277,16.195,1.76,-13.171,-33.839
2045-12-01,41.276,25.413,6.715,-18.135,-39.625
2060-01-01,19.939,-2.909,-22.368,-48.445,-83.167
2060-02-01,4.478,-30.026,-55.281,-79.265,-106.813
2060-03-01,3.837,-24.082,-56.908,-92.294,-123.624
2060-04-01,-12.218,-42.013,-72.351,-107.14,-138.04
2060-05-01,-25.097,-60.047,-78.431,-99.593,-125.505
2060-06-01,-14.954,-62.227,-91.952,-112.029,-131.731
2060-07-01,-0.26,-42.035,-64.943,-93.668,-116.321
2060-08-01,5.727,-18.49,-41.438,-54.762,-74.164
2060-09-01,18.145,-11.025,-40.655,-61.395,-88.073
2060-10-01,16.688,0.113,-36.439,-56.097,-82.676
2060-11-01,16.768,-2.112,-27.991,-60.947,-84.661
2060-12-01,24.428,-1.796,-36.573,-80.307,-118.621
